;;;;
Articulo;Detalle;Cantidad;C.Unitario;C.Total
;;;;
3;MUMM EXTRA BRUT;3,00;8.475,00;25.425,00
18;SPEED LATA;268,00;1.291,67;346.167,56
22;GIN BRIGHTON;1,12;8.175,00;9.156,00
25;FERNET BRANCA;4,93;12.000,00;59.160,00
30;ABSOLUT RASPBERRY;2,12;21.200,00;44.944,00
35;ABSOLUT PERA;2,07;21.200,00;43.884,00
38;SKY CLASICO;9,00;7.050,00;63.450,00
39;SKY APRICOT;6,37;7.750,00;49.367,50
40;SKY RASPBERRY;36,15;7.750,00;280.162,50
41;SKY PINEAPPLE;6,24;7.750,00;48.360,00
49;HODLMOSER;1,00;16.200,00;16.200,00
59;BUDWEISER LATA;4,00;751,75;3.007,00
151;COCA COLA LATA;42,00;1.227,94;51.573,48
154;SPRITE LATA;37,00;627,22;23.207,14
155;SCHWEPPS TONICA LATA;6,00;1.003,56;6.021,36
156;SCHWEPPES POMELO LATA;2,00;742,80;1.485,60
160;CEPITA NARANJA;16,00;802,84;12.845,44
161;CEPITA DURAZNO;15,00;802,84;12.042,60
198;AGUA SIN GAS;50,00;836,00;41.800,00
;;;;1.138.259,18
