Midnight Club;;;;
Noche: SA29/11/2025;;;;
Fecha: 02/12/2025-21:45:42;;;;
Turno: TURNO SABADO                            ;;;;
;;;;
Hora;Monto;Estado;Hora Aut.;Usuario Gen.
;;;;
Barras - CAJA 1                                  ;;;;
22:57:28;0,00;Autorizado;22:57:28;ADMINISTRADOR
03:46:58;1.095.500,00;Autorizado en Oficina;04:51:19;ANITA
Subtotal;1.095.500,00;;;
Barras - CAJA 2                                  ;;;;
22:57:28;0,00;Autorizado;22:57:28;ADMINISTRADOR
03:57:15;622.000,00;Autorizado en Oficina;04:51:25;ANITA
04:18:27;400.000,00;Autorizado en Oficina;04:51:27;ANITA
Subtotal;1.022.000,00;;;
Barras - CAJA 3                                  ;;;;
22:57:28;0,00;Autorizado;22:57:28;ADMINISTRADOR
04:14:44;1.048.000,00;Autorizado en Oficina;04:51:23;ANITA
Subtotal;1.048.000,00;;;
Barras - CAJA 4                                  ;;;;
22:57:28;0,00;Autorizado;22:57:28;ADMINISTRADOR
04:23:21;65.000,00;Autorizado en Oficina;04:51:34;ANITA
Subtotal;65.000,00;;;
Boleteria - BOLETERIA  GENERAL 1                    ;;;;
22:56:07;0,00;Autorizado;22:56:07;ADMINISTRADOR
03:25:24;360.000,00;Autorizado;03:25:24;ANITA
Subtotal;360.000,00;;;
;3.590.500,00;;;
