Factura electrónica;;;;;;;;;;;;;;;;;;;;;;;;
Generado a las 08:21hs del 1/28/2026;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
ptovta;factura;cae;fechafc;caja;cajanom;fecha;cliente;bimp;iva;importe;efectivo;merpag;tarjetas;otros;noche;hora;ticket;orden;ndoc;tdoc;id;estado;tipo;tcom
19;1718;86041238661016;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;00:48;4504;4499;0;99;L0FlVllnYVd4YUhObG5XZmtDa2JCLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:05;4505;4500;0;99;d2RlVHBrV3U3aTlKSm9CNnFwcU84ZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1719;86041239275561;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:08;4506;4501;0;99;aTl1aDU1RkdqS2pXeEJQUFJjdkdDdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:10;4507;4502;0;99;cFR0ZnZ6YXFvQUxLL1lGTm1ZQWhidjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1720;86041239411445;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;01:13;4508;4503;0;99;ZGY0VzE4QzdVcS9hLzBOVzBaS0FvZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:14;4509;4504;0;99;WkRiNzRCc0p5OE42MW85QVRpZDZyLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:25;4510;4505;0;99;VXhHL2l6MWU3Y3Bud3ZFSERjcDlrUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1721;86041239759860;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;01:26;4511;4506;0;99;anFYYnFiNUFHSU5SZ2YzcnMxUEhEZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
1;0;0;;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;33057,85;6942,15;40000;0;0;40000;0;SA24/01/2026;01:27;4512;4507;0;99;VWkzSXZQL2Z5Z2VDN1RnNFRITjRqZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;sin enviar;Boleterias;0
19;1722;86041239844424;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;01:30;4513;4508;0;99;QUdpYm1IeHlmOXhvZzN3R3hYV2trdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
