Midnight Club;;;;;
Recaudación total de barras por articulo de venta;;;;;
Noche: SA29/11/2025;;;;;
Fecha: 02/12/2025-21:43:40;;;;;
Turno: TURNO SABADO                            ;;;;;
;;;;;
Codigo;Articulo;Q Paga;Q Sin Cargo;Q Tarj.VIP;Total Caja
;;;;;
78;ABSOLUT COMUN + SPEED;1;0;0;17.333,00
198;AGUA SIN GAS;15;53;0;100.005,00
120;BOT ABSOLUT RASPBERRY + 4 SPEED;1;0;0;93.333,00
133;BOT FERNET BRANCA + 4 COCA COLA LATA;2;0;0;109.334,00
174;BOT SKY APRICOT + 4 CEPITA DURAZNO;1;0;0;45.333,00
115;BOT SKY APRICOT + 4 SPEED;2;0;0;98.666,00
114;BOT SKY CLASICO + 4 SPEED;6;0;0;280.002,00
166;BOT SKY CLASICO + 4 SPRITE LATA;11;0;0;440.000,00
117;BOT SKY PINEAPPLE + 4 SPEED;1;3;0;49.333,00
172;BOT SKY PINEAPPLE + 4 SPRITE LATA;1;0;0;42.667,00
169;BOT SKY RASPBERRY + 4 CEPITA DURAZNO;1;0;0;45.333,00
116;BOT SKY RASPBERRY + 4 SPEED;18;0;0;887.994,00
167;BOT SKY RASPBERRY + 4 SPRITE LATA;6;0;0;256.002,00
59;BUDWEISER LATA;8;0;0;64.000,00
161;CEPITA DURAZNO;1;0;0;8.000,00
209;EF ABSOLUT MANGO + SPEED;2;0;0;28.000,00
266;EF AGUA CON GAS;1;0;0;5.000,00
265;EF AGUA SIN GAS;22;0;0;110.000,00
261;EF AQUARIUS POMELO BLANCO;1;0;0;6.000,00
270;EF BOT ABSOLUT MANGO + 4 SPEED;1;0;0;70.000,00
280;EF BOT GIN BRIGHTON + 4 SCHWEPPES TONICA;1;0;0;36.000,00
291;EF BOT SKY APRICOT + 4 CEPITA DURAZNO;1;0;0;34.000,00
288;EF BOT SKY APRICOT + 4 SPEED;5;0;0;185.000,00
289;EF BOT SKY APRICOT + 4 SPRITE;6;0;0;192.000,00
287;EF BOT SKY CLASICO + 4 CEPITA DURAZNO;2;0;0;64.000,00
284;EF BOT SKY CLASICO + 4 SPEED;2;0;0;70.000,00
285;EF BOT SKY CLASICO + 4 SPRITE;12;0;0;360.000,00
296;EF BOT SKY PINEAPPLE + 4 SPEED;2;0;0;74.000,00
297;EF BOT SKY PINEAPPLE + 4 SPRITE;1;0;0;32.000,00
295;EF BOT SKY RASPBERRY + 4 CEPITA DURAZNO;1;0;0;34.000,00
294;EF BOT SKY RASPBERRY + 4 CEPITA NARANJA;1;0;0;34.000,00
292;EF BOT SKY RASPBERRY + 4 SPEED;33;0;0;1.221.000,00
293;EF BOT SKY RASPBERRY + 4 SPRITE;9;0;0;288.000,00
248;EF BUDWEISER LATA;3;0;0;18.000,00
264;EF CEPITA DURAZNO;2;0;0;12.000,00
211;EF CHANDON EXTRA BRUT + 2 SPEED;1;0;0;48.000,00
254;EF COCA COLA LATA;4;0;0;24.000,00
223;EF FERNET BRANCA + COCA COLA;6;0;0;54.000,00
224;EF FERNET BRANCA + COCA ZERO;1;0;0;9.000,00
222;EF GIN BRIGHTON + SCHWEPPES POMELO;1;0;0;9.000,00
221;EF GIN BRIGHTON + SCHWEPPES TONICA;1;0;0;9.000,00
247;EF SHOT JOSE CUERVO SILVER;2;0;0;14.000,00
240;EF SKY APRICOT + CEPITA DURAZNO;4;0;0;32.000,00
237;EF SKY APRICOT + SPEED;5;0;0;45.000,00
238;EF SKY APRICOT + SPRITE;1;0;0;8.000,00
236;EF SKY PINEAPPLE + CEPITA DURAZNO;1;0;0;8.000,00
233;EF SKY PINEAPPLE + SPEED;3;1;0;27.000,00
234;EF SKY PINEAPPLE + SPRITE;1;0;0;8.000,00
232;EF SKY RASPBERRY + CEPITA DURAZNO;1;0;0;8.000,00
229;EF SKY RASPBERRY + SPEED;18;0;0;162.000,00
230;EF SKY RASPBERRY + SPRITE;6;0;0;48.000,00
216;EF SPEED;23;0;0;161.000,00
257;EF SPRITE LATA;3;0;0;18.000,00
94;FERNET BRANCA + COCA COLA;11;2;0;132.000,00
178;FERNET BRANCA + COCA ZERO;1;0;0;12.000,00
106;MEDIDA BALLANTINE;1;0;0;13.333,00
156;SCHWEPPES POMELO LATA;1;0;0;8.000,00
110;SHOT TEQUILA JOSE CUERVO;2;0;0;18.666,00
183;SKY APRICOT + CEPITA DURAZNO;1;0;0;10.667,00
185;SKY APRICOT + SPRITE LATA;3;0;0;32.001,00
187;SKY CLASICO + CEPITA DURAZNO;1;0;0;10.667,00
188;SKY CLASICO + SPRITE LATA;3;0;0;32.001,00
77;SKY PINEAPPLE + SPEED;2;4;0;24.000,00
191;SKY PINEAPPLE + SPRITE LATA;2;0;0;21.334,00
193;SKY RASPBERRY + CEPITA DURAZNO;5;0;0;53.335,00
192;SKY RASPBERRY + CEPITA NARANJA;3;0;0;32.001,00
76;SKY RASPBERRY + SPEED;10;0;0;120.000,00
194;SKY RASPBERRY + SPRITE LATA;5;0;0;53.335,00
18;SPEED LATA;13;6;0;121.329,00
154;SPRITE LATA;3;0;0;24.000,00
;;332;69;0;6.821.004,00
